a1,a2,a3,a4
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
90°,180°,360°,45°
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
