a1,a2,a3,a4
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
3967,3968,4067,4047
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
