n,m,p,o,r,s,t,u,a1,a2,a3,a4
5,50,500,5000,5,1,10,100,1000,55,505,10
15,150,1500,15000,3,5,50,500,5000,153,1503,18
16,160,1600,16000,4,4,40,400,4000,164,1604,20
45,450,4500,45000,5,9,90,900,9000,455,4505,50
16,160,1600,16000,4,4,40,400,4000,164,1604,20
6,60,600,6000,2,3,30,300,3000,62,602,8
35,350,3500,35000,5,7,70,700,7000,355,3505,40
16,160,1600,16000,4,4,40,400,4000,164,1604,20
10,100,1000,10000,2,5,50,500,5000,102,1002,12
21,210,2100,21000,3,7,70,700,7000,213,2103,24
16,160,1600,16000,2,8,80,800,8000,162,1602,18
8,80,800,8000,4,2,20,200,2000,84,804,12
15,150,1500,15000,3,5,50,500,5000,153,1503,18
18,180,1800,18000,3,6,60,600,6000,183,1803,21
8,80,800,8000,4,2,20,200,2000,84,804,12
40,400,4000,40000,5,8,80,800,8000,405,4005,45
12,120,1200,12000,4,3,30,300,3000,124,1204,16
3,30,300,3000,3,1,10,100,1000,33,303,6
4,40,400,4000,2,2,20,200,2000,42,402,6
3,30,300,3000,3,1,10,100,1000,33,303,6
10,100,1000,10000,5,2,20,200,2000,105,1005,15
6,60,600,6000,2,3,30,300,3000,62,602,8
4,40,400,4000,2,2,20,200,2000,42,402,6
28,280,2800,28000,4,7,70,700,7000,284,2804,32
4,40,400,4000,1,4,40,400,4000,41,401,5
14,140,1400,14000,2,7,70,700,7000,142,1402,16
18,180,1800,18000,3,6,60,600,6000,183,1803,21
10,100,1000,10000,2,5,50,500,5000,102,1002,12
12,120,1200,12000,3,4,40,400,4000,123,1203,15
2,20,200,2000,2,1,10,100,1000,22,202,4
27,270,2700,27000,3,9,90,900,9000,273,2703,30
2,20,200,2000,1,2,20,200,2000,21,201,3
5,50,500,5000,1,5,50,500,5000,51,501,6
12,120,1200,12000,4,3,30,300,3000,124,1204,16
2,20,200,2000,1,2,20,200,2000,21,201,3
9,90,900,9000,3,3,30,300,3000,93,903,12
20,200,2000,20000,4,5,50,500,5000,204,2004,24
5,50,500,5000,5,1,10,100,1000,55,505,10
32,320,3200,32000,4,8,80,800,8000,324,3204,36
6,60,600,6000,1,6,60,600,6000,61,601,7
6,60,600,6000,3,2,20,200,2000,63,603,9
4,40,400,4000,1,4,40,400,4000,41,401,5
32,320,3200,32000,4,8,80,800,8000,324,3204,36
4,40,400,4000,4,1,10,100,1000,44,404,8
18,180,1800,18000,3,6,60,600,6000,183,1803,21
35,350,3500,35000,5,7,70,700,7000,355,3505,40
24,240,2400,24000,3,8,80,800,8000,243,2403,27
18,180,1800,18000,2,9,90,900,9000,182,1802,20
3,30,300,3000,3,1,10,100,1000,33,303,6
3,30,300,3000,1,3,30,300,3000,31,301,4
24,240,2400,24000,3,8,80,800,8000,243,2403,27
24,240,2400,24000,4,6,60,600,6000,244,2404,28
9,90,900,9000,3,3,30,300,3000,93,903,12
9,90,900,9000,3,3,30,300,3000,93,903,12
9,90,900,9000,3,3,30,300,3000,93,903,12
8,80,800,8000,1,8,80,800,8000,81,801,9
1,10,100,1000,1,1,10,100,1000,11,101,2
5,50,500,5000,1,5,50,500,5000,51,501,6
1,10,100,1000,1,1,10,100,1000,11,101,2
8,80,800,8000,2,4,40,400,4000,82,802,10
40,400,4000,40000,5,8,80,800,8000,405,4005,45
3,30,300,3000,3,1,10,100,1000,33,303,6
6,60,600,6000,3,2,20,200,2000,63,603,9
10,100,1000,10000,5,2,20,200,2000,105,1005,15
8,80,800,8000,4,2,20,200,2000,84,804,12
36,360,3600,36000,4,9,90,900,9000,364,3604,40
5,50,500,5000,5,1,10,100,1000,55,505,10
20,200,2000,20000,5,4,40,400,4000,205,2005,25
40,400,4000,40000,5,8,80,800,8000,405,4005,45
8,80,800,8000,2,4,40,400,4000,82,802,10
12,120,1200,12000,2,6,60,600,6000,122,1202,14
36,360,3600,36000,4,9,90,900,9000,364,3604,40
35,350,3500,35000,5,7,70,700,7000,355,3505,40
12,120,1200,12000,4,3,30,300,3000,124,1204,16
28,280,2800,28000,4,7,70,700,7000,284,2804,32
36,360,3600,36000,4,9,90,900,9000,364,3604,40
6,60,600,6000,3,2,20,200,2000,63,603,9
18,180,1800,18000,3,6,60,600,6000,183,1803,21
8,80,800,8000,2,4,40,400,4000,82,802,10
20,200,2000,20000,5,4,40,400,4000,205,2005,25
18,180,1800,18000,2,9,90,900,9000,182,1802,20
15,150,1500,15000,3,5,50,500,5000,153,1503,18
12,120,1200,12000,2,6,60,600,6000,122,1202,14
2,20,200,2000,1,2,20,200,2000,21,201,3
9,90,900,9000,3,3,30,300,3000,93,903,12
4,40,400,4000,4,1,10,100,1000,44,404,8
18,180,1800,18000,3,6,60,600,6000,183,1803,21
9,90,900,9000,3,3,30,300,3000,93,903,12
18,180,1800,18000,3,6,60,600,6000,183,1803,21
9,90,900,9000,1,9,90,900,9000,91,901,10
12,120,1200,12000,4,3,30,300,3000,124,1204,16
4,40,400,4000,4,1,10,100,1000,44,404,8
3,30,300,3000,3,1,10,100,1000,33,303,6
6,60,600,6000,1,6,60,600,6000,61,601,7
18,180,1800,18000,2,9,90,900,9000,182,1802,20
8,80,800,8000,4,2,20,200,2000,84,804,12
2,20,200,2000,2,1,10,100,1000,22,202,4
18,180,1800,18000,2,9,90,900,9000,182,1802,20
10,100,1000,10000,5,2,20,200,2000,105,1005,15
35,350,3500,35000,5,7,70,700,7000,355,3505,40
1,10,100,1000,1,1,10,100,1000,11,101,2
4,40,400,4000,2,2,20,200,2000,42,402,6
9,90,900,9000,3,3,30,300,3000,93,903,12
30,300,3000,30000,5,6,60,600,6000,305,3005,35
40,400,4000,40000,5,8,80,800,8000,405,4005,45
8,80,800,8000,4,2,20,200,2000,84,804,12
12,120,1200,12000,4,3,30,300,3000,124,1204,16
4,40,400,4000,2,2,20,200,2000,42,402,6
2,20,200,2000,2,1,10,100,1000,22,202,4
5,50,500,5000,1,5,50,500,5000,51,501,6
4,40,400,4000,4,1,10,100,1000,44,404,8
5,50,500,5000,5,1,10,100,1000,55,505,10
15,150,1500,15000,5,3,30,300,3000,155,1505,20
4,40,400,4000,4,1,10,100,1000,44,404,8
2,20,200,2000,2,1,10,100,1000,22,202,4
36,360,3600,36000,4,9,90,900,9000,364,3604,40
7,70,700,7000,1,7,70,700,7000,71,701,8
45,450,4500,45000,5,9,90,900,9000,455,4505,50
12,120,1200,12000,4,3,30,300,3000,124,1204,16
18,180,1800,18000,2,9,90,900,9000,182,1802,20
5,50,500,5000,1,5,50,500,5000,51,501,6
5,50,500,5000,1,5,50,500,5000,51,501,6
9,90,900,9000,1,9,90,900,9000,91,901,10
25,250,2500,25000,5,5,50,500,5000,255,2505,30
6,60,600,6000,3,2,20,200,2000,63,603,9
8,80,800,8000,1,8,80,800,8000,81,801,9
9,90,900,9000,1,9,90,900,9000,91,901,10
10,100,1000,10000,5,2,20,200,2000,105,1005,15
27,270,2700,27000,3,9,90,900,9000,273,2703,30
4,40,400,4000,1,4,40,400,4000,41,401,5
24,240,2400,24000,3,8,80,800,8000,243,2403,27
21,210,2100,21000,3,7,70,700,7000,213,2103,24
10,100,1000,10000,5,2,20,200,2000,105,1005,15
10,100,1000,10000,5,2,20,200,2000,105,1005,15
45,450,4500,45000,5,9,90,900,9000,455,4505,50
4,40,400,4000,4,1,10,100,1000,44,404,8
12,120,1200,12000,3,4,40,400,4000,123,1203,15
2,20,200,2000,1,2,20,200,2000,21,201,3
4,40,400,4000,4,1,10,100,1000,44,404,8
24,240,2400,24000,4,6,60,600,6000,244,2404,28
15,150,1500,15000,3,5,50,500,5000,153,1503,18
45,450,4500,45000,5,9,90,900,9000,455,4505,50
6,60,600,6000,3,2,20,200,2000,63,603,9
2,20,200,2000,2,1,10,100,1000,22,202,4
24,240,2400,24000,3,8,80,800,8000,243,2403,27
10,100,1000,10000,5,2,20,200,2000,105,1005,15
12,120,1200,12000,3,4,40,400,4000,123,1203,15
8,80,800,8000,4,2,20,200,2000,84,804,12
4,40,400,4000,1,4,40,400,4000,41,401,5
4,40,400,4000,1,4,40,400,4000,41,401,5
25,250,2500,25000,5,5,50,500,5000,255,2505,30
5,50,500,5000,1,5,50,500,5000,51,501,6
45,450,4500,45000,5,9,90,900,9000,455,4505,50
40,400,4000,40000,5,8,80,800,8000,405,4005,45
4,40,400,4000,2,2,20,200,2000,42,402,6
18,180,1800,18000,2,9,90,900,9000,182,1802,20
5,50,500,5000,1,5,50,500,5000,51,501,6
8,80,800,8000,1,8,80,800,8000,81,801,9
32,320,3200,32000,4,8,80,800,8000,324,3204,36
36,360,3600,36000,4,9,90,900,9000,364,3604,40
10,100,1000,10000,2,5,50,500,5000,102,1002,12
15,150,1500,15000,5,3,30,300,3000,155,1505,20
3,30,300,3000,3,1,10,100,1000,33,303,6
32,320,3200,32000,4,8,80,800,8000,324,3204,36
6,60,600,6000,1,6,60,600,6000,61,601,7
40,400,4000,40000,5,8,80,800,8000,405,4005,45
9,90,900,9000,3,3,30,300,3000,93,903,12
40,400,4000,40000,5,8,80,800,8000,405,4005,45
16,160,1600,16000,2,8,80,800,8000,162,1602,18
40,400,4000,40000,5,8,80,800,8000,405,4005,45
12,120,1200,12000,2,6,60,600,6000,122,1202,14
6,60,600,6000,3,2,20,200,2000,63,603,9
1,10,100,1000,1,1,10,100,1000,11,101,2
16,160,1600,16000,2,8,80,800,8000,162,1602,18
20,200,2000,20000,5,4,40,400,4000,205,2005,25
30,300,3000,30000,5,6,60,600,6000,305,3005,35
24,240,2400,24000,4,6,60,600,6000,244,2404,28
2,20,200,2000,1,2,20,200,2000,21,201,3
2,20,200,2000,1,2,20,200,2000,21,201,3
6,60,600,6000,1,6,60,600,6000,61,601,7
4,40,400,4000,1,4,40,400,4000,41,401,5
45,450,4500,45000,5,9,90,900,9000,455,4505,50
14,140,1400,14000,2,7,70,700,7000,142,1402,16
4,40,400,4000,4,1,10,100,1000,44,404,8
8,80,800,8000,2,4,40,400,4000,82,802,10
12,120,1200,12000,2,6,60,600,6000,122,1202,14
16,160,1600,16000,2,8,80,800,8000,162,1602,18
10,100,1000,10000,2,5,50,500,5000,102,1002,12
2,20,200,2000,2,1,10,100,1000,22,202,4
1,10,100,1000,1,1,10,100,1000,11,101,2
36,360,3600,36000,4,9,90,900,9000,364,3604,40
18,180,1800,18000,3,6,60,600,6000,183,1803,21
6,60,600,6000,3,2,20,200,2000,63,603,9
9,90,900,9000,3,3,30,300,3000,93,903,12
40,400,4000,40000,5,8,80,800,8000,405,4005,45
45,450,4500,45000,5,9,90,900,9000,455,4505,50
36,360,3600,36000,4,9,90,900,9000,364,3604,40
4,40,400,4000,1,4,40,400,4000,41,401,5
5,50,500,5000,5,1,10,100,1000,55,505,10
10,100,1000,10000,2,5,50,500,5000,102,1002,12
21,210,2100,21000,3,7,70,700,7000,213,2103,24
16,160,1600,16000,4,4,40,400,4000,164,1604,20
10,100,1000,10000,2,5,50,500,5000,102,1002,12
16,160,1600,16000,2,8,80,800,8000,162,1602,18
4,40,400,4000,1,4,40,400,4000,41,401,5
6,60,600,6000,3,2,20,200,2000,63,603,9
8,80,800,8000,1,8,80,800,8000,81,801,9
20,200,2000,20000,5,4,40,400,4000,205,2005,25
16,160,1600,16000,4,4,40,400,4000,164,1604,20
9,90,900,9000,3,3,30,300,3000,93,903,12
8,80,800,8000,2,4,40,400,4000,82,802,10
2,20,200,2000,2,1,10,100,1000,22,202,4
6,60,600,6000,2,3,30,300,3000,62,602,8
5,50,500,5000,5,1,10,100,1000,55,505,10
32,320,3200,32000,4,8,80,800,8000,324,3204,36
18,180,1800,18000,2,9,90,900,9000,182,1802,20
12,120,1200,12000,3,4,40,400,4000,123,1203,15
35,350,3500,35000,5,7,70,700,7000,355,3505,40
16,160,1600,16000,4,4,40,400,4000,164,1604,20
1,10,100,1000,1,1,10,100,1000,11,101,2
15,150,1500,15000,3,5,50,500,5000,153,1503,18
12,120,1200,12000,2,6,60,600,6000,122,1202,14
8,80,800,8000,4,2,20,200,2000,84,804,12
8,80,800,8000,1,8,80,800,8000,81,801,9
5,50,500,5000,5,1,10,100,1000,55,505,10
6,60,600,6000,1,6,60,600,6000,61,601,7
1,10,100,1000,1,1,10,100,1000,11,101,2
16,160,1600,16000,2,8,80,800,8000,162,1602,18
15,150,1500,15000,3,5,50,500,5000,153,1503,18
5,50,500,5000,5,1,10,100,1000,55,505,10
30,300,3000,30000,5,6,60,600,6000,305,3005,35
4,40,400,4000,2,2,20,200,2000,42,402,6
4,40,400,4000,1,4,40,400,4000,41,401,5
12,120,1200,12000,4,3,30,300,3000,124,1204,16
27,270,2700,27000,3,9,90,900,9000,273,2703,30
2,20,200,2000,1,2,20,200,2000,21,201,3
4,40,400,4000,2,2,20,200,2000,42,402,6
10,100,1000,10000,5,2,20,200,2000,105,1005,15
16,160,1600,16000,2,8,80,800,8000,162,1602,18
2,20,200,2000,1,2,20,200,2000,21,201,3
35,350,3500,35000,5,7,70,700,7000,355,3505,40
12,120,1200,12000,2,6,60,600,6000,122,1202,14
35,350,3500,35000,5,7,70,700,7000,355,3505,40
15,150,1500,15000,5,3,30,300,3000,155,1505,20
6,60,600,6000,2,3,30,300,3000,62,602,8
9,90,900,9000,3,3,30,300,3000,93,903,12
21,210,2100,21000,3,7,70,700,7000,213,2103,24
16,160,1600,16000,2,8,80,800,8000,162,1602,18
5,50,500,5000,1,5,50,500,5000,51,501,6
24,240,2400,24000,3,8,80,800,8000,243,2403,27
6,60,600,6000,2,3,30,300,3000,62,602,8
16,160,1600,16000,2,8,80,800,8000,162,1602,18
9,90,900,9000,1,9,90,900,9000,91,901,10
25,250,2500,25000,5,5,50,500,5000,255,2505,30
45,450,4500,45000,5,9,90,900,9000,455,4505,50
9,90,900,9000,1,9,90,900,9000,91,901,10
4,40,400,4000,1,4,40,400,4000,41,401,5
24,240,2400,24000,4,6,60,600,6000,244,2404,28
12,120,1200,12000,2,6,60,600,6000,122,1202,14
5,50,500,5000,5,1,10,100,1000,55,505,10
3,30,300,3000,1,3,30,300,3000,31,301,4
20,200,2000,20000,4,5,50,500,5000,204,2004,24
21,210,2100,21000,3,7,70,700,7000,213,2103,24
45,450,4500,45000,5,9,90,900,9000,455,4505,50
4,40,400,4000,1,4,40,400,4000,41,401,5
1,10,100,1000,1,1,10,100,1000,11,101,2
7,70,700,7000,1,7,70,700,7000,71,701,8
21,210,2100,21000,3,7,70,700,7000,213,2103,24
21,210,2100,21000,3,7,70,700,7000,213,2103,24
24,240,2400,24000,3,8,80,800,8000,243,2403,27
7,70,700,7000,1,7,70,700,7000,71,701,8
12,120,1200,12000,2,6,60,600,6000,122,1202,14
6,60,600,6000,3,2,20,200,2000,63,603,9
4,40,400,4000,4,1,10,100,1000,44,404,8
3,30,300,3000,3,1,10,100,1000,33,303,6
20,200,2000,20000,5,4,40,400,4000,205,2005,25
12,120,1200,12000,2,6,60,600,6000,122,1202,14
24,240,2400,24000,4,6,60,600,6000,244,2404,28
45,450,4500,45000,5,9,90,900,9000,455,4505,50
6,60,600,6000,3,2,20,200,2000,63,603,9
30,300,3000,30000,5,6,60,600,6000,305,3005,35
10,100,1000,10000,5,2,20,200,2000,105,1005,15
8,80,800,8000,4,2,20,200,2000,84,804,12
2,20,200,2000,1,2,20,200,2000,21,201,3
16,160,1600,16000,2,8,80,800,8000,162,1602,18
24,240,2400,24000,4,6,60,600,6000,244,2404,28
15,150,1500,15000,5,3,30,300,3000,155,1505,20
9,90,900,9000,1,9,90,900,9000,91,901,10
3,30,300,3000,1,3,30,300,3000,31,301,4
12,120,1200,12000,4,3,30,300,3000,124,1204,16
14,140,1400,14000,2,7,70,700,7000,142,1402,16
12,120,1200,12000,4,3,30,300,3000,124,1204,16
20,200,2000,20000,5,4,40,400,4000,205,2005,25
6,60,600,6000,2,3,30,300,3000,62,602,8
15,150,1500,15000,5,3,30,300,3000,155,1505,20
36,360,3600,36000,4,9,90,900,9000,364,3604,40
4,40,400,4000,4,1,10,100,1000,44,404,8
16,160,1600,16000,4,4,40,400,4000,164,1604,20
8,80,800,8000,4,2,20,200,2000,84,804,12
4,40,400,4000,2,2,20,200,2000,42,402,6
18,180,1800,18000,3,6,60,600,6000,183,1803,21
15,150,1500,15000,3,5,50,500,5000,153,1503,18
6,60,600,6000,3,2,20,200,2000,63,603,9
18,180,1800,18000,3,6,60,600,6000,183,1803,21
4,40,400,4000,4,1,10,100,1000,44,404,8
16,160,1600,16000,4,4,40,400,4000,164,1604,20
27,270,2700,27000,3,9,90,900,9000,273,2703,30
4,40,400,4000,2,2,20,200,2000,42,402,6
36,360,3600,36000,4,9,90,900,9000,364,3604,40
20,200,2000,20000,4,5,50,500,5000,204,2004,24
15,150,1500,15000,5,3,30,300,3000,155,1505,20
12,120,1200,12000,3,4,40,400,4000,123,1203,15
3,30,300,3000,3,1,10,100,1000,33,303,6
5,50,500,5000,5,1,10,100,1000,55,505,10
5,50,500,5000,1,5,50,500,5000,51,501,6
30,300,3000,30000,5,6,60,600,6000,305,3005,35
5,50,500,5000,1,5,50,500,5000,51,501,6
35,350,3500,35000,5,7,70,700,7000,355,3505,40
32,320,3200,32000,4,8,80,800,8000,324,3204,36
6,60,600,6000,3,2,20,200,2000,63,603,9
10,100,1000,10000,2,5,50,500,5000,102,1002,12
28,280,2800,28000,4,7,70,700,7000,284,2804,32
45,450,4500,45000,5,9,90,900,9000,455,4505,50
10,100,1000,10000,2,5,50,500,5000,102,1002,12
10,100,1000,10000,2,5,50,500,5000,102,1002,12
40,400,4000,40000,5,8,80,800,8000,405,4005,45
18,180,1800,18000,2,9,90,900,9000,182,1802,20
8,80,800,8000,2,4,40,400,4000,82,802,10
16,160,1600,16000,2,8,80,800,8000,162,1602,18
15,150,1500,15000,3,5,50,500,5000,153,1503,18
21,210,2100,21000,3,7,70,700,7000,213,2103,24
12,120,1200,12000,3,4,40,400,4000,123,1203,15
8,80,800,8000,4,2,20,200,2000,84,804,12
12,120,1200,12000,4,3,30,300,3000,124,1204,16
14,140,1400,14000,2,7,70,700,7000,142,1402,16
12,120,1200,12000,2,6,60,600,6000,122,1202,14
4,40,400,4000,1,4,40,400,4000,41,401,5
40,400,4000,40000,5,8,80,800,8000,405,4005,45
21,210,2100,21000,3,7,70,700,7000,213,2103,24
35,350,3500,35000,5,7,70,700,7000,355,3505,40
10,100,1000,10000,5,2,20,200,2000,105,1005,15
5,50,500,5000,1,5,50,500,5000,51,501,6
9,90,900,9000,3,3,30,300,3000,93,903,12
35,350,3500,35000,5,7,70,700,7000,355,3505,40
3,30,300,3000,1,3,30,300,3000,31,301,4
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
